Phi[deg],Theta[deg],dB(DirTotal)
34,2,6.41705
36,2,6.41711
38,2,6.41717
40,2,6.41721
42,2,6.41725
44,2,6.41729
46,2,6.41731
48,2,6.41733
50,2,6.41733
52,2,6.41733
54,2,6.41733
56,2,6.41731
58,2,6.41728
60,2,6.41725
62,2,6.41721
64,2,6.41715
66,2,6.41709
68,2,6.41703
70,2,6.41695
72,2,6.41686
74,2,6.41677
76,2,6.41667
78,2,6.41656
80,2,6.41644
82,2,6.41632
84,2,6.41618
86,2,6.41604
88,2,6.41589
90,2,6.41573
92,2,6.41557
94,2,6.41539
96,2,6.41521
98,2,6.41503
100,2,6.41484
102,2,6.41464
104,2,6.41443
106,2,6.41422
108,2,6.414
110,2,6.41378
112,2,6.41355
114,2,6.41332
116,2,6.41308
118,2,6.41284
120,2,6.4126
122,2,6.41235
124,2,6.4121
126,2,6.41184
128,2,6.41159
130,2,6.41133
132,2,6.41107
134,2,6.4108
136,2,6.41054
138,2,6.41028
140,2,6.41001
142,2,6.40975
144,2,6.40949
146,2,6.40922
148,2,6.40896
150,2,6.4087
152,2,6.40844
154,2,6.40819
156,2,6.40794
158,2,6.40769
160,2,6.40744
162,2,6.4072
164,2,6.40696
166,2,6.40673
168,2,6.4065
170,2,6.40628
172,2,6.40606
174,2,6.40585
176,2,6.40564
178,2,6.40544
180,2,6.40525
-180,4,6.38134
-178,4,6.38096
-176,4,6.3806
-174,4,6.38026
-172,4,6.37993
-170,4,6.37962
-168,4,6.37932
-166,4,6.37905
-164,4,6.3788
-162,4,6.37856
-160,4,6.37834
-158,4,6.37815
-156,4,6.37797
-154,4,6.37781
-152,4,6.37767
-150,4,6.37755
-148,4,6.37745
-146,4,6.37737
-144,4,6.37731
-142,4,6.37727
-140,4,6.37725
-138,4,6.37725
-136,4,6.37727
-134,4,6.37731
-132,4,6.37736
-130,4,6.37743
-128,4,6.37753
-126,4,6.37764
-124,4,6.37776
-122,4,6.37791
-120,4,6.37807
-118,4,6.37825
-116,4,6.37844
-114,4,6.37865
-112,4,6.37887
-110,4,6.37911
-108,4,6.37937
-106,4,6.37963
-104,4,6.37991
-102,4,6.38021
-100,4,6.38052
-98,4,6.38083
-96,4,6.38116
-94,4,6.3815
-92,4,6.38186
-90,4,6.38222
-88,4,6.38259
-86,4,6.38297
-84,4,6.38335
-82,4,6.38375
-80,4,6.38415
-78,4,6.38456
-76,4,6.38497
-74,4,6.38539
-72,4,6.38582
-70,4,6.38625
-68,4,6.38668
-66,4,6.38712
-64,4,6.38756
-62,4,6.388
-60,4,6.38844
-58,4,6.38889
-56,4,6.38934
-54,4,6.38978
-52,4,6.39023
-50,4,6.39068
-48,4,6.39112
-46,4,6.39157
-44,4,6.39201
-42,4,6.39245
-40,4,6.39289
-38,4,6.39333
-36,4,6.39376
