"lP [mm]","Freq [GHz]","dB(S(1,1)) []"
27.9,1.928,-0.228654288189613
27.9,1.931,-0.230687195082801
27.9,1.934,-0.232750730679668
27.9,1.937,-0.234845564670077
27.9,1.94,-0.236972386080955
27.9,1.943,-0.23913190394985
27.9,1.946,-0.241324848025625
27.9,1.949,-0.243551969497542
27.9,1.952,-0.245814041754061
27.9,1.955,-0.248111861172717
27.9,1.958,-0.250446247942574
27.9,1.961,-0.252818046920749
27.9,1.964,-0.25522812852465
27.9,1.967,-0.257677389661636
27.9,1.97,-0.260166754697884
27.9,1.973,-0.262697176468348
27.9,1.976,-0.265269637329822
27.9,1.979,-0.267885150259204
27.9,1.982,-0.270544759999193
27.9,1.985,-0.27324954425372
27.9,1.988,-0.27600061493565
27.9,1.991,-0.278799119469307
27.9,1.994,-0.281646242150615
27.9,1.997,-0.284543205567744
27.9,2,-0.28749127208536
27.9,2.003,-0.290491745395712
27.9,2.006,-0.293545972140033
27.9,2.009,-0.296655343603828
27.9,2.012,-0.299821297489984
27.9,2.015,-0.303045319773707
27.9,2.018,-0.306328946643661
27.9,2.021,-0.309673766533824
27.9,2.024,-0.31308142225096
27.9,2.027,-0.316553613202802
27.9,2.03,-0.320092097732434
27.9,2.033,-0.32369869556458
27.9,2.036,-0.327375290370021
27.9,2.039,-0.33112383245454
27.9,2.042,-0.334946341579407
27.9,2.045,-0.33884490992066
27.9,2.048,-0.342821705175022
27.9,2.051,-0.346878973820715
27.9,2.054,-0.351019044542024
27.9,2.057,-0.355244331826929
27.9,2.06,-0.35955733974784
27.9,2.063,-0.363960665936026
27.9,2.066,-0.368457005761043
27.9,2.069,-0.373049156727267
27.9,2.072,-0.377740023100299
27.9,2.075,-0.382532620777045
27.9,2.078,-0.387430082413997
27.9,2.081,-0.392435662829369
27.9,2.084,-0.397552744695738
27.9,2.087,-0.402784844540969
27.9,2.09,-0.408135619076437
27.9,2.093,-0.4136088718729
27.9,2.096,-0.419208560405711
27.9,2.099,-0.424938803492697
27.9,2.102,-0.430803889149545
27.9,2.105,-0.436808282889407
27.9,2.108,-0.442956636495281
27.9,2.111,-0.449253797295817
27.9,2.114,-0.455704817977371
27.9,2.117,-0.462314966967627
27.9,2.12,-0.469089739428529
27.9,2.123,-0.476034868899287
27.9,2.126,-0.483156339633032
27.9,2.129,-0.49046039967417
27.9,2.132,-0.497953574726834
27.9,2.135,-0.505642682868935
27.9,2.138,-0.513534850170204
27.9,2.141,-0.521637527277387
27.9,2.144,-0.529958507034473
27.9,2.147,-0.538505943211331
27.9,2.15,-0.547288370419792
27.9,2.153,-0.55631472530255
27.9,2.156,-0.565594369087185
27.9,2.159,-0.575137111604905
27.9,2.162,-0.584953236881863
27.9,2.165,-0.595053530419679
27.9,2.168,-0.605449308291417
27.9,2.171,-0.616152448189837
27.9,2.174,-0.62717542257619
27.9,2.177,-0.638531334090324
27.9,2.18,-0.650233953396653
27.9,2.183,-0.662297759655401
27.9,2.186,-0.674737983825056
27.9,2.189,-0.687570655019789
27.9,2.192,-0.700812650165342
27.9,2.195,-0.714481747218409
27.9,2.198,-0.7285966822382
27.9,2.201,-0.743177210624775
27.9,2.204,-0.758244172867405
27.9,2.207,-0.77381956517735
27.9,2.21,-0.789926615414166
27.9,2.213,-0.806589864752396
27.9,2.216,-0.82383525557754
27.9,2.219,-0.841690226146077
27.9,2.222,-0.860183812595394
27.9,2.225,-0.879346758945494
27.9,2.228,-0.899211635796401
27.9,2.231,-0.919812968493908
27.9,2.234,-0.941187375612079
27.9,2.237,-0.963373718685114
27.9,2.24,-0.986413264214357
27.9,2.243,-1.01034985907956
27.9,2.246,-1.03523012059848
27.9,2.249,-1.06110364260631
27.9,2.252,-1.08802321906849
27.9,2.255,-1.11604508689855
27.9,2.258,-1.14522918982866
27.9,2.261,-1.1756394653774
27.9,2.264,-1.20734415717866
27.9,2.267,-1.24041615518158
27.9,2.27,-1.27493336650612
27.9,2.273,-1.31097912004796
27.9,2.276,-1.34864260827248
27.9,2.279,-1.38801937002764
27.9,2.282,-1.42921181864482
27.9,2.285,-1.47232982009225
27.9,2.288,-1.51749132650673
27.9,2.291,-1.5648230710647
27.9,2.294,-1.61446133087628
27.9,2.297,-1.66655276540818
27.9,2.3,-1.72125533888189
27.9,2.303,-1.77873933616988
27.9,2.306,-1.83918848295166
27.9,2.309,-1.9028011823204
27.9,2.312,-1.96979188168761
27.9,2.315,-2.04039258576099
27.9,2.318,-2.11485453362604
27.9,2.321,-2.19345006061278
27.9,2.324,-2.27647466876351
27.9,2.327,-2.36424933344526
27.9,2.33,-2.45712307811209
27.9,2.333,-2.55547585459817
27.9,2.336,-2.65972177284487
27.9,2.339,-2.77031273193683
27.9,2.342,-2.88774251413768
27.9,2.345,-3.01255141579673
27.9,2.348,-3.145331504232
27.9,2.351,-3.28673260890081
27.9,2.354,-3.43746917957886
27.9,2.357,-3.598328175548
27.9,2.36,-3.7701781902089
27.9,2.363,-3.95398006819797
27.9,2.366,-4.15079934130638
27.9,2.369,-4.36182090128574
27.9,2.372,-4.58836645046995
27.9,2.375,-4.83191543715568
27.9,2.378,-5.09413040935542
27.9,2.381,-5.37688803346789
27.9,2.384,-5.68231746162275
27.9,2.387,-6.01284835034101
27.9,2.39,-6.37127172187631
27.9,2.393,-6.76081815625221
27.9,2.396,-7.18525972749808
27.9,2.399,-7.64904501361215
27.9,2.402,-8.15748102387346
27.9,2.405,-8.71698304875901
27.9,2.408,-9.33542511691046
27.9,2.411,-10.0226433888574
27.9,2.414,-10.7911790350586
27.9,2.417,-11.6574091386751
27.9,2.42,-12.64333156773
27.9,2.423,-13.7795033682276
27.9,2.426,-15.1101224299233
27.9,2.429,-16.7023239800834
27.9,2.432,-18.6641982882822
27.9,2.435,-21.1806234732911
27.9,2.438,-24.5667752185557
27.9,2.441,-28.9483086830689
27.9,2.444,-30.0557993831813
27.9,2.447,-25.7870622663258
27.9,2.45,-22.0706317168174
27.9,2.453,-19.3350024771064
27.9,2.456,-17.2317907315259
27.9,2.459,-15.5427324866326
27.9,2.462,-14.1418805489136
27.9,2.465,-12.9524466028421
27.9,2.468,-11.9246975474798
27.9,2.471,-11.0247126605114
27.9,2.474,-10.2283445713453
27.9,2.477,-9.51778268956215
27.9,2.48,-8.87949439061707
27.9,2.483,-8.30293589187721
27.9,2.486,-7.77971401221632
27.9,2.489,-7.30302315032502
27.9,2.492,-6.86725634151743
27.9,2.495,-6.46772987387803
27.9,2.498,-6.10048400786052
27.9,2.501,-5.76213592018965
27.9,2.504,-5.44976924572574
27.9,2.507,-5.16084975263574
27.9,2.51,-4.89315999763554
27.9,2.513,-4.64474798121071
27.9,2.516,-4.41388627809636
27.9,2.519,-4.19903911086677
27.9,2.522,-3.9988355225817
27.9,2.525,-3.81204728854686
27.9,2.528,-3.63757055242135
27.9,2.531,-3.47441042104639
27.9,2.534,-3.32166793421541
27.9,2.537,-3.17852895972911
27.9,2.54,-3.04425466397163
27.9,2.543,-2.91817328333843
27.9,2.546,-2.79967297880084
27.9,2.549,-2.68819559946685
27.9,2.552,-2.58323121461458
27.9,2.555,-2.48431329982945
27.9,2.558,-2.39101448339101
27.9,2.561,-2.30294277527927
27.9,2.564,-2.21973821410401
27.9,2.567,-2.1410698776546
27.9,2.57,-2.06663321118619
27.9,2.573,-1.99614763442861
27.9,2.576,-1.92935439395404
27.9,2.579,-1.86601463221865
27.9,2.582,-1.80590764849545
27.9,2.585,-1.74882933019098
27.9,2.588,-1.69459073580494
27.9,2.591,-1.64301681314228
27.9,2.594,-1.59394523839429
27.9,2.597,-1.54722536342868
27.9,2.6,-1.50271726011413
27.9,2.603,-1.46029085179195
27.9,2.606,-1.41982512312588
27.9,2.609,-1.38120740053694
27.9,2.612,-1.34433269628445
27.9,2.615,-1.30910311000412
27.9,2.618,-1.2754272821735
27.9,2.621,-1.24321989455772
27.9,2.624,-1.2124012132026
27.9,2.627,-1.1828966699985
27.9,2.63,-1.1546364792428
27.9,2.633,-1.1275552859889
27.9,2.636,-1.10159184328974
27.9,2.639,-1.07668871573002
27.9,2.642,-1.05279200689604
27.9,2.645,-1.02985110866062
27.9,2.648,-1.00781847036447
27.9,2.651,-0.986649386158767
27.9,2.654,-0.966301798937625
27.9,2.657,-0.946736119436866
27.9,2.66,-0.927915059207969
27.9,2.663,-0.909803476295409
27.9,2.666,-0.892368232553024
27.9,2.669,-0.875578061631937
27.9,2.672,-0.859403446759895
27.9,2.675,-0.843816507510811
27.9,2.678,-0.828790894834507
27.9,2.681,-0.814301693681218
27.9,2.684,-0.800325332613642
27.9,2.687,-0.786839499852299
27.9,2.69,-0.773823065247634
27.9,2.693,-0.761256007716011
27.9,2.696,-0.74911934771589
27.9,2.699,-0.737395084376478
27.9,2.702,-0.726066136923632
27.9,2.705,-0.715116290077312
27.9,2.708,-0.70453014312199
27.9,2.711,-0.694293062375758
27.9,2.714,-0.684391136806458
27.9,2.717,-0.67481113656331
27.9,2.72,-0.665540474211345
27.9,2.723,-0.656567168472774
27.9,2.726,-0.647879810295069
27.9,2.729,-0.639467531079647
27.9,2.732,-0.631319972918059
27.9,2.735,-0.6234272606945
27.9,2.738,-0.615779975924302
27.9,2.741,-0.608369132208079
27.9,2.744,-0.601186152190335
27.9,2.747,-0.594222845919743
27.9,2.75,-0.587471390515998
27.9,2.753,-0.58092431105531
27.9,2.756,-0.574574462592958
27.9,2.759,-0.568415013247461
27.9,2.762,-0.562439428276405
27.9,2.765,-0.556641455078937
27.9,2.768,-0.551015109064749
27.9,2.771,-0.545554660333597
27.9,2.774,-0.540254621113402
27.9,2.777,-0.535109733908644
27.9,2.78,-0.530114960314124
27.9,2.783,-0.525265470452377
27.9,2.786,-0.520556632995775
27.9,2.789,-0.515984005737157
27.9,2.792,-0.511543326675217
27.9,2.795,-0.507230505583237
27.9,2.798,-0.503041616031765
27.9,2.801,-0.498972887837973
27.9,2.804,-0.49502069991603
27.9,2.807,-0.491181573504728
27.9,2.81,-0.487452165750016
27.9,2.813,-0.483829263621634
27.9,2.816,-0.480309778144363
27.9,2.819,-0.476890738925626
27.9,2.822,-0.473569288962421
27.9,2.825,-0.470342679711622
27.9,2.828,-0.467208266408598
27.9,2.831,-0.464163503620245
27.9,2.834,-0.461205941019198
27.9,2.837,-0.458333219366912
27.9,2.84,-0.455543066694052
27.9,2.843,-0.452833294667332
27.9,2.846,-0.450201795132599
27.9,2.849,-0.447646536824545
27.9,2.852,-0.445165562234147
27.9,2.855,-0.442756984625218
27.9,2.858,-0.440418985192255
27.9,2.861,-0.438149810351991
27.9,2.864,-0.435947769161672
27.9,2.867,-0.433811230857337
27.9,2.87,-0.431738622505959
27.9,2.873,-0.429728426765452
27.9,2.876,-0.427779179747073
27.9,2.879,-0.425889468974914
27.9,2.882,-0.424057931437607
27.9,2.885,-0.422283251727542
27.9,2.888,-0.42056416026322
27.9,2.891,-0.418899431590581
27.9,2.894,-0.417287882759384
27.9,2.897,-0.415728371770955
27.9,2.9,-0.414219796093752
27.9,2.903,-0.412761091243503
27.9,2.906,-0.411351229424718
27.9,2.909,-0.409989218230668
27.9,2.912,-0.408674099399011
27.9,2.915,-0.407404947620364
27.9,2.918,-0.40618086939741
27.9,2.921,-0.405001001952048
27.9,2.924,-0.403864512178427
27.9,2.927,-0.402770595639642
27.9,2.93,-0.40171847560614
27.9,2.933,-0.400707402133866
27.9,2.936,-0.399736651180347
27.9,2.939,-0.398805523756981
27.9,2.942,-0.397913345115884
27.9,2.945,-0.397059463969741
27.9,2.948,-0.396243251743192
27.9,2.951,-0.395464101854328
27.9,2.954,-0.394721429024956
27.9,2.957,-0.39401466861841
27.9,2.96,-0.393343276003633
27.9,2.963,-0.392706725944451
27.9,2.966,-0.392104512012875
27.9,2.969,-0.391536146025458
27.9,2.972,-0.391001157501698
27.9,2.975,-0.390499093143503
27.9,2.978,-0.390029516334896
27.9,2.981,-0.38959200666104
27.9,2.984,-0.389186159445825
27.9,2.987,-0.38881158530718
27.9,2.99,-0.38846790972946
27.9,2.993,-0.388154772652089
27.9,2.996,-0.387871828073901
27.9,2.999,-0.387618743672463
27.9,3.002,-0.387395200437799
27.9,3.005,-0.387200892319933
27.9,3.008,-0.387035525889681
27.9,3.011,-0.386898820012175
27.9,3.014,-0.386790505532604
27.9,3.017,-0.38671032497369
27.9,3.02,-0.386658032244435
27.9,3.023,-0.386633392359691
27.9,3.026,-0.386636181170173
27.9,3.029,-0.386666185102406
27.9,3.032,-0.386723200908366
27.9,3.035,-0.386807035424307
27.9,3.038,-0.386917505338531
27.9,3.041,-0.387054436967668
27.9,3.044,-0.387217666041228
27.9,3.047,-0.387407037494057
27.9,3.05,-0.387622405266413
28,1.85,-0.188016797356964
28,1.853,-0.18947055789761
28,1.856,-0.190943752296824
28,1.859,-0.192436743790441
28,1.862,-0.193949904799138
28,1.865,-0.195483617215646
28,1.868,-0.197038272702179
28,1.871,-0.198614272998425
28,1.874,-0.200212030240664
28,1.877,-0.201831967292317
28,1.88,-0.203474518086532
28,1.883,-0.205140127981243
28,1.886,-0.206829254127225
28,1.889,-0.208542365849734
28,1.892,-0.210279945044242
28,1.895,-0.212042486586961
28,1.898,-0.213830498760672
28,1.901,-0.21564450369664
28,1.904,-0.217485037833189
28,1.907,-0.219352652391786
28,1.91,-0.221247913871275
28,1.913,-0.223171404561163
28,1.916,-0.22512372307473
28,1.919,-0.227105484902878
28,1.922,-0.229117322989621
28,1.925,-0.231159888330211
28,1.928,-0.233233850592897
28,1.931,-0.235339898765407
28,1.934,-0.237478741827265
28,1.937,-0.239651109449136
28,1.94,-0.241857752720427
28,1.943,-0.244099444906504
28,1.946,-0.246376982236809
28,1.949,-0.248691184725422
28,1.952,-0.251042897025551
28,1.955,-0.253432989319533
28,1.958,-0.255862358246091
28,1.961,-0.258331927866588
28,1.964,-0.260842650672162
28,1.967,-0.263395508633743
28,1.97,-0.265991514297028
28,1.973,-0.268631711924589
28,1.976,-0.271317178687471
28,1.979,-0.27404902590875
28,1.982,-0.276828400361547
28,1.985,-0.27965648562434
28,1.988,-0.282534503496409
28,1.991,-0.285463715476422
28,1.994,-0.28844542430749
28,1.997,-0.291480975591988
28,2,-0.294571759479808
28,2.003,-0.297719212433869
28,2.006,-0.300924819076852
28,2.009,-0.304190114123505
28,2.012,-0.307516684402994
28,2.015,-0.310906170976126
28,2.018,-0.314360271352473
28,2.021,-0.317880741812852
28,2.024,-0.321469399842804
28,2.027,-0.325128126683167
28,2.03,-0.328858870004157
28,2.033,-0.332663646709774
28,2.036,-0.336544545879816
28,2.039,-0.340503731857119
28,2.042,-0.344543447488318
28,2.045,-0.3486660175267
28,2.048,-0.352873852206513
28,2.051,-0.357169450998496
28,2.054,-0.361555406557138
28,2.057,-0.366034408870814
28,2.06,-0.370609249626684
28,2.063,-0.375282826803006
28,2.066,-0.380058149502369
28,2.069,-0.384938343040247
28,2.072,-0.389926654304203
28,2.075,-0.395026457400192
28,2.078,-0.400241259603407
28,2.081,-0.405574707632413
28,2.084,-0.411030594266539
28,2.087,-0.416612865327898
28,2.09,-0.422325627050903
28,2.093,-0.428173153863728
28,2.096,-0.434159896607923
28,2.099,-0.440290491224215
28,2.102,-0.446569767934587
28,2.105,-0.453002760952844
28,2.108,-0.459594718758232
28,2.111,-0.466351114969239
28,2.114,-0.473277659857385
28,2.117,-0.48038031254379
28,2.12,-0.487665293924521
28,2.123,-0.495139100374122
28,2.126,-0.50280851828056
28,2.129,-0.510680639468775
28,2.132,-0.518762877574545
28,2.135,-0.527062985434994
28,2.138,-0.535589073567441
28,2.141,-0.544349629813723
28,2.144,-0.553353540233341
28,2.147,-0.562610111335413
28,2.15,-0.572129093746642
28,2.153,-0.581920707420258
28,2.156,-0.591995668499692
28,2.159,-0.602365217959778
28,2.162,-0.613041152158672
28,2.165,-0.624035855444707
28,2.168,-0.635362334974383
28,2.171,-0.647034257911158
28,2.174,-0.659065991188902
28,2.177,-0.671472644039903
28,2.18,-0.684270113504379
28,2.183,-0.697475133157641
28,2.186,-0.711105325311513
28,2.189,-0.725179256969617
28,2.192,-0.739716499840856
28,2.195,-0.754737694743016
28,2.198,-0.77026462075824
28,2.201,-0.786320269535506
28,2.204,-0.802928925171317
28,2.207,-0.82011625014001
28,2.21,-0.837909377789206
28,2.213,-0.856337011964425
28,2.216,-0.875429534380634
28,2.219,-0.895219120417636
28,2.222,-0.91573986408164
28,2.225,-0.937027912947708
28,2.228,-0.959121613977714
28,2.231,-0.982061671197204
28,2.234,-1.00589131631268
28,2.237,-1.03065649345993
28,2.24,-1.05640605939479
28,2.243,-1.0831920005727
28,2.246,-1.11106966871235
28,2.249,-1.14009803660613
28,2.252,-1.17033997612506
28,2.255,-1.20186256057394
28,2.258,-1.23473739378348
28,2.261,-1.26904096858584
28,2.264,-1.30485505761015
28,2.267,-1.34226713966052
28,2.27,-1.38137086530493
28,2.273,-1.42226656571601
28,2.276,-1.4650618092689
28,2.279,-1.50987201092689
28,2.282,-1.55682110004024
28,2.285,-1.60604225285824
28,2.288,-1.65767869682318
28,2.291,-1.71188459459135
28,2.294,-1.76882601672997
28,2.297,-1.82868201319168
28,2.3,-1.89164579499812
28,2.303,-1.95792603910252
28,2.306,-2.02774833119131
28,2.309,-2.10135676327563
28,2.312,-2.17901570537954
28,2.315,-2.26101177353204
28,2.318,-2.34765601971571
28,2.321,-2.43928637354405
28,2.324,-2.53627037039646
28,2.327,-2.63900820674702
28,2.33,-2.74793617075413
28,2.333,-2.86353050519263
28,2.336,-2.98631177097832
28,2.339,-3.11684979347987
28,2.342,-3.25576929136243
28,2.345,-3.40375630997036
28,2.348,-3.56156560972798
28,2.351,-3.730029196749
28,2.354,-3.9100662305783
28,2.357,-4.10269460658501
28,2.36,-4.30904459333717
28,2.363,-4.53037501585077
28,2.366,-4.76809262465294
28,2.369,-5.02377549358648
28,2.372,-5.2992015687989
28,2.375,-5.59638388086698
28,2.378,-5.91761448193106
28,2.381,-6.26551995737104
28,2.384,-6.64313250786769
28,2.387,-7.05398229590297
28,2.39,-7.50221931711129
28,2.393,-7.99277702280539
28,2.396,-8.53159620495597
28,2.399,-9.12593790299321
28,2.402,-9.7848313535962
28,2.405,-10.5197331839801
28,2.408,-11.3455291391049
28,2.411,-12.2821154096741
28,2.414,-13.3570123033742
28,2.417,-14.6099359197768
28,2.42,-16.1013880420083
28,2.423,-17.9303761017042
28,2.426,-20.2759175904512
28,2.429,-23.5136580921796
28,2.432,-28.6441401150696
28,2.435,-37.9389552541593
28,2.438,-30.7091144997117
28,2.441,-24.6550714733158
28,2.444,-21.0495855456503
28,2.447,-18.5121442119736
28,2.45,-16.5657544682525
28,2.453,-14.9950638866763
28,2.456,-13.6850093390599
28,2.459,-12.5669333531616
28,2.462,-11.5965473671163
28,2.465,-10.7435719684948
28,2.468,-9.98634843451645
28,2.471,-9.30881256123298
28,2.474,-8.69868969093711
28,2.477,-8.14636458089147
28,2.48,-7.64414492423762
28,2.483,-7.18576500698265
28,2.486,-6.76604146576868
28,2.489,-6.38062851970752
28,2.492,-6.02584007793308
28,2.495,-5.69851790081294
28,2.498,-5.39593215422234
28,2.501,-5.11570518184791
28,2.504,-4.8557522041097
28,2.507,-4.61423454933374
28,2.51,-4.38952229668865
28,2.513,-4.1801640816428
28,2.516,-3.98486242043467
28,2.519,-3.80245333746816
28,2.522,-3.63188938520439
28,2.525,-3.47222536739923
28,2.528,-3.32260623852927
28,2.531,-3.18225677209
28,2.534,-3.05047267997502
28,2.537,-2.92661293264671
28,2.54,-2.81009308115976
28,2.543,-2.70037942150022
28,2.546,-2.59698387218946
28,2.549,-2.49945945988777
28,2.552,-2.40739632643896
28,2.555,-2.3204181856295
28,2.558,-2.23817916978855
28,2.561,-2.1603610159015
28,2.564,-2.08667054865764
28,2.567,-2.01683742418753
28,2.57,-1.95061210346388
28,2.573,-1.88776402866725
28,2.576,-1.82807997943207
28,2.579,-1.77136258892509
28,2.582,-1.71742900227578
28,2.585,-1.66610966206109
28,2.588,-1.61724720741279
28,2.591,-1.57069547491777
28,2.594,-1.52631859086475
28,2.597,-1.48399014558824
28,2.6,-1.44359244170284
28,2.603,-1.40501580892989
28,2.606,-1.36815797901476
28,2.609,-1.33292351493212
28,2.612,-1.29922328919164
28,2.615,-1.26697400660037
28,2.618,-1.23609776731783
28,2.621,-1.20652166646624
28,2.624,-1.17817742693606
28,2.627,-1.15100106236367
28,2.63,-1.12493256755759
28,2.633,-1.09991563391707
28,2.636,-1.07589738762571
28,2.639,-1.05282814861672
28,2.642,-1.03066120849768
28,2.645,-1.00935262579465
28,2.648,-0.988861037029065
28,2.651,-0.969147482280203
28,2.654,-0.950175244009757
28,2.657,-0.931909698037852
28,2.66,-0.914318175660623
28,2.663,-0.89736983599086
28,2.666,-0.881035547685374
28,2.669,-0.865287779297344
28,2.672,-0.850100497558966
28,2.675,-0.835449072960766
28,2.678,-0.821310192048907
28,2.681,-0.807661775911949
28,2.684,-0.794482904373729
28,2.687,-0.781753745450161
28,2.69,-0.769455489665184
28,2.693,-0.757570288855003
28,2.696,-0.74608119912063
28,2.699,-0.734972127616891
28,2.702,-0.724227782891665
28,2.705,-0.713833628512387
28,2.708,-0.70377583973826
28,2.711,-0.694041263015901
28,2.714,-0.684617378093985
28,2.717,-0.675492262568582
28,2.72,-0.666654558685786
28,2.723,-0.658093442241694
28,2.726,-0.649798593432265
28,2.729,-0.641760169516948
28,2.732,-0.633968779170341
28,2.735,-0.62641545840581
28,2.738,-0.619091647963618
28,2.741,-0.611989172064251
28,2.744,-0.605100218435062
28,2.747,-0.598417319525053
28,2.75,-0.591933334828907
28,2.753,-0.585641434247218
28,2.756,-0.579535082415026
28,2.759,-0.573608023935761
28,2.762,-0.567854269462115
28,2.765,-0.562268082569638
28,2.768,-0.556843967372472
28,2.771,-0.551576656834431
28,2.774,-0.546461101731705
28,2.777,-0.541492460226548
28,2.78,-0.53666608801414
28,2.783,-0.531977529007378
28,2.786,-0.527422506526656
28,2.789,-0.522996914964084
28,2.792,-0.518696811893457
28,2.795,-0.514518410599338
28,2.798,-0.510458073000292
28,2.801,-0.506512302942994
28,2.804,-0.502677739845441
28,2.807,-0.498951152668861
28,2.81,-0.49532943419935
28,2.813,-0.491809595621327
28,2.816,-0.488388761366175
28,2.819,-0.485064164220381
28,2.822,-0.481833140678552
28,2.825,-0.478693126527561
28,2.828,-0.475641652648922
28,2.831,-0.472676341027299
28,2.834,-0.469794900953846
28,2.837,-0.466995125413643
28,2.84,-0.464274887647286
28,2.843,-0.461632137877173
28,2.846,-0.459064900189673
28,2.849,-0.45657126956483
28,2.852,-0.454149409045797
28,2.855,-0.451797547040625
28,2.858,-0.449513974749458
28,2.861,-0.447297043710634
28,2.864,-0.44514516345947
28,2.867,-0.443056799294038
28,2.87,-0.441030470142328
28,2.873,-0.439064746525753
28,2.876,-0.437158248614067
28,2.879,-0.435309644367096
28,2.882,-0.433517647758983
28,2.885,-0.431781017080812
28,2.888,-0.43009855331777
28,2.891,-0.428469098597139
28,2.894,-0.426891534703732
28,2.897,-0.425364781659428
28,2.9,-0.42388779636374
28,2.903,-0.422459571292528
28,2.906,-0.421079133251991
28,2.909,-0.419745542185408
28,2.912,-0.41845789003008
28,2.915,-0.417215299622133
28,2.918,-0.416016923646981
28,2.921,-0.414861943633262
28,2.924,-0.413749568988316
28,2.927,-0.41267903607323
28,2.93,-0.411649607315709
28,2.933,-0.41066057035902
28,2.936,-0.409711237245363
28,2.939,-0.408800943632185
28,2.942,-0.407929048039883
28,2.945,-0.407094931129597
28,2.948,-0.406297995009683
28,2.951,-0.405537662569624
28,2.954,-0.404813376840249
28,2.957,-0.404124600379005
28,2.96,-0.403470814679283
28,2.963,-0.402851519602734
28,2.966,-0.402266232833593
28,2.969,-0.401714489354065
28,2.972,-0.401195840939923
28,2.975,-0.400709855675389
28,2.978,-0.400256117486582
28,2.981,-0.399834225692692
28,2.984,-0.399443794574179
28,2.987,-0.399084452957268
28,2.99,-0.398755843814119
28,2.993,-0.398457623877975
28,2.996,-0.398189463272699
28,2.999,-0.397951045156178
28,3.002,-0.397742065376922
28,3.005,-0.397562232143429
28,3.008,-0.397411265705785
28,3.011,-0.397288898048946
28,3.014,-0.397194872597392
28,3.017,-0.397128943930507
28,3.02,-0.397090877508478
28,3.023,-0.397080449408117
28,3.026,-0.397097446068358
28,3.029,-0.397141664045008
28,3.032,-0.397212909774362
28,3.035,-0.397310999345413
28,3.038,-0.397435758280298
28,3.041,-0.39758702132266
28,3.044,-0.397764632233645
28,3.047,-0.397968443595255
28,3.05,-0.398198316620766
