"dI [mm]","Freq [GHz]","lP [mm]","Phi [deg]","wF [mm]","Theta [deg]","dB(GainTotal) []"
7.5,2.45,27.8,0,1.5,32,2.21402279695296
7.5,2.45,27.8,0,1.5,34,2.03028636015667
7.5,2.45,27.8,0,1.5,36,1.83763881945243
7.5,2.45,27.8,0,1.5,38,1.6364603315018
7.5,2.45,27.8,0,1.5,40,1.42713766415565
7.5,2.45,27.8,0,1.5,42,1.2100628675232
7.5,2.45,27.8,0,1.5,44,0.9856321532638
7.5,2.45,27.8,0,1.5,46,0.754245001646477
7.5,2.45,27.8,0,1.5,48,0.516303509023284
7.5,2.45,27.8,0,1.5,50,0.272211980608695
7.5,2.45,27.8,0,1.5,52,0.0223767651002502
7.5,2.45,27.8,0,1.5,54,-0.232793680965358
7.5,2.45,27.8,0,1.5,56,-0.492888519776439
7.5,2.45,27.8,0,1.5,58,-0.757494078437976
7.5,2.45,27.8,0,1.5,60,-1.02619325063749
7.5,2.45,27.8,0,1.5,62,-1.29856479547038
7.5,2.45,27.8,0,1.5,64,-1.57418257931717
7.5,2.45,27.8,0,1.5,66,-1.85261480899885
7.5,2.45,27.8,0,1.5,68,-2.13342330477275
7.5,2.45,27.8,0,1.5,70,-2.41616286008381
7.5,2.45,27.8,0,1.5,72,-2.70038073151881
7.5,2.45,27.8,0,1.5,74,-2.98561629743794
7.5,2.45,27.8,0,1.5,76,-3.27140091772854
7.5,2.45,27.8,0,1.5,78,-3.55725802059202
7.5,2.45,27.8,0,1.5,80,-3.84270343584831
7.5,2.45,27.8,0,1.5,82,-4.12724598852297
7.5,2.45,27.8,0,1.5,84,-4.41038836199236
7.5,2.45,27.8,0,1.5,86,-4.69162823705382
7.5,2.45,27.8,0,1.5,88,-4.97045971207068
7.5,2.45,27.8,0,1.5,90,-5.24637500961227
7.5,2.45,27.8,0,1.5,92,-5.51886647621473
7.5,2.45,27.8,0,1.5,94,-5.787428883131
7.5,2.45,27.8,0,1.5,96,-6.05156203602952
7.5,2.45,27.8,0,1.5,98,-6.31077369918114
7.5,2.45,27.8,0,1.5,100,-6.56458283338367
7.5,2.45,27.8,0,1.5,102,-6.81252313558615
7.5,2.45,27.8,0,1.5,104,-7.0541468512356
7.5,2.45,27.8,0,1.5,106,-7.28902880785167
7.5,2.45,27.8,0,1.5,108,-7.51677059122533
7.5,2.45,27.8,0,1.5,110,-7.73700475595169
7.5,2.45,27.8,0,1.5,112,-7.9493989327553
7.5,2.45,27.8,0,1.5,114,-8.15365967008019
7.5,2.45,27.8,0,1.5,116,-8.34953583100428
7.5,2.45,27.8,0,1.5,118,-8.53682136299868
7.5,2.45,27.8,0,1.5,120,-8.71535727110413
7.5,2.45,27.8,0,1.5,122,-8.88503265727245
7.5,2.45,27.8,0,1.5,124,-9.04578474071983
7.5,2.45,27.8,0,1.5,126,-9.19759784482071
7.5,2.45,27.8,0,1.5,128,-9.34050142162557
7.5,2.45,27.8,0,1.5,130,-9.47456727944749
7.5,2.45,27.8,0,1.5,132,-9.59990627394211
7.5,2.45,27.8,0,1.5,134,-9.71666480885526
7.5,2.45,27.8,0,1.5,136,-9.82502155828292
7.5,2.45,27.8,0,1.5,138,-9.92518485688889
7.5,2.45,27.8,0,1.5,140,-10.0173911979796
7.5,2.45,27.8,0,1.5,142,-10.1019052237425
7.5,2.45,27.8,0,1.5,144,-10.1790214830426
7.5,2.45,27.8,0,1.5,146,-10.2490680708328
7.5,2.45,27.8,0,1.5,148,-10.3124120569106
7.5,2.45,27.8,0,1.5,150,-10.3694663753573
7.5,2.45,27.8,0,1.5,152,-10.4206976017953
7.5,2.45,27.8,0,1.5,154,-10.4666338217602
7.5,2.45,27.8,0,1.5,156,-10.5078716208569
7.5,2.45,27.8,0,1.5,158,-10.545081134805
7.5,2.45,27.8,0,1.5,160,-10.5790081063028
7.5,2.45,27.8,0,1.5,162,-10.6104720144399
7.5,2.45,27.8,0,1.5,164,-10.6403595637193
7.5,2.45,27.8,0,1.5,166,-10.6696131197866
7.5,2.45,27.8,0,1.5,168,-10.6992140208206
7.5,2.45,27.8,0,1.5,170,-10.7301610337736
7.5,2.45,27.8,0,1.5,172,-10.763444521428
7.5,2.45,27.8,0,1.5,174,-10.8000171073621
7.5,2.45,27.8,0,1.5,176,-10.8407617547025
7.5,2.45,27.8,0,1.5,178,-10.886458212368
7.5,2.45,27.8,0,1.5,180,-10.9377487479249
