"dI [mm]","lP [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,27.8,1.5,2.153,120.469723347856,423.051631926012
7.5,27.8,1.5,2.156,128.292558313415,431.769765936183
7.5,27.8,1.5,2.159,136.816462438714,440.772641092825
7.5,27.8,1.5,2.162,146.118765234677,450.055121216226
7.5,27.8,1.5,2.165,156.286227589313,459.60652848019
7.5,27.8,1.5,2.168,167.416098110453,469.408953626635
7.5,27.8,1.5,2.171,179.617196665931,479.435116888886
7.5,27.8,1.5,2.174,193.010971071244,489.645669528925
7.5,27.8,1.5,2.177,207.732439765308,499.98580431109
7.5,27.8,1.5,2.18,223.930885369723,510.381021360865
7.5,27.8,1.5,2.183,241.77009581505,520.731877107875
7.5,27.8,1.5,2.186,261.427854564693,530.907534711901
7.5,27.8,1.5,2.189,283.094251854534,540.737945476637
7.5,27.8,1.5,2.192,306.968217695209,550.004540277903
7.5,27.8,1.5,2.195,333.251460877838,558.429426148631
7.5,27.8,1.5,2.198,362.138741715634,565.663307606685
7.5,27.8,1.5,2.201,393.803134576293,571.272742681416
7.5,27.8,1.5,2.204,428.374710673448,574.727971365358
7.5,27.8,1.5,2.207,465.911014184194,575.393492097244
7.5,27.8,1.5,2.21,506.358027329028,572.524849800048
7.5,27.8,1.5,2.213,549.501344420973,565.27667428237
7.5,27.8,1.5,2.216,594.909412891839,552.728588004994
7.5,27.8,1.5,2.219,641.874333849993,533.936531285658
7.5,27.8,1.5,2.222,689.360906159012,508.016182155799
7.5,27.8,1.5,2.225,735.980579298045,474.260928492557
7.5,27.8,1.5,2.228,780.011579108437,432.287917779924
7.5,27.8,1.5,2.231,819.485946513766,382.192171370368
7.5,27.8,1.5,2.234,852.35435463705,324.673863484714
7.5,27.8,1.5,2.237,876.718528065684,261.094805520728
7.5,27.8,1.5,2.24,891.093234701922,193.425855272274
7.5,27.8,1.5,2.243,894.637014952568,124.072132686507
7.5,27.8,1.5,2.246,887.287630355848,55.6016802574442
7.5,27.8,1.5,2.249,869.761802351349,-9.56140211548341
7.5,27.8,1.5,2.252,843.421104286371,-69.4050508860465
7.5,27.8,1.5,2.255,810.046740288781,-122.500459341911
7.5,27.8,1.5,2.258,771.586456085955,-168.054408285201
7.5,27.8,1.5,2.261,729.931297935503,-205.857644912625
7.5,27.8,1.5,2.264,686.756942088129,-236.166736326494
7.5,27.8,1.5,2.267,643.438038552548,-259.560767947141
7.5,27.8,1.5,2.27,601.024944175079,-276.805059405389
7.5,27.8,1.5,2.273,560.263632433976,-288.740159387845
7.5,27.8,1.5,2.276,521.63936031883,-296.202082702196
7.5,27.8,1.5,2.279,485.428908544685,-299.971740678462
7.5,27.8,1.5,2.282,451.751580948344,-300.747727504185
7.5,27.8,1.5,2.285,420.613785167962,-299.13579631747
7.5,27.8,1.5,2.288,391.945278033295,-295.649120398538
7.5,27.8,1.5,2.291,365.627107611824,-290.714785045531
7.5,27.8,1.5,2.294,341.512251719791,-284.683322744654
7.5,27.8,1.5,2.297,319.440294968795,-277.839237591072
7.5,27.8,1.5,2.3,299.247481775935,-270.411303509959
7.5,27.8,1.5,2.303,280.773316709315,-262.58199335641
7.5,27.8,1.5,2.306,263.864665098356,-254.495761362583
7.5,27.8,1.5,2.309,248.378092567001,-246.266119364977
7.5,27.8,1.5,2.312,234.180996628002,-237.98156689456
7.5,27.8,1.5,2.315,221.151933710576,-229.710492803081
7.5,27.8,1.5,2.318,209.180429398015,-221.505186593726
7.5,27.8,1.5,2.321,198.166473178441,-213.405097337901
7.5,27.8,1.5,2.324,188.019835812472,-205.439467187633
7.5,27.8,1.5,2.327,178.659302075055,-197.629451128207
7.5,27.8,1.5,2.33,170.011879596489,-189.989818214991
7.5,27.8,1.5,2.333,162.012022222239,-182.530313924612
7.5,27.8,1.5,2.336,154.600891000368,-175.256749270627
7.5,27.8,1.5,2.339,147.725665560078,-168.171870275934
7.5,27.8,1.5,2.342,141.338911785047,-161.276051245511
7.5,27.8,1.5,2.345,135.398007246701,-154.567846882624
7.5,27.8,1.5,2.348,129.864623087675,-148.044431418839
7.5,27.8,1.5,2.351,124.704259400693,-141.701947351241
7.5,27.8,1.5,2.354,119.885830259348,-135.535781881025
7.5,27.8,1.5,2.357,115.38129416557,-129.540785532436
7.5,27.8,1.5,2.36,111.165325605721,-123.711444534133
7.5,27.8,1.5,2.363,107.215023531366,-118.042016227781
7.5,27.8,1.5,2.366,103.50965281996,-112.526634916851
7.5,27.8,1.5,2.369,100.030415070306,-107.159394089529
7.5,27.8,1.5,2.372,96.7602454119433,-101.934409768116
7.5,27.8,1.5,2.375,93.6836323342298,-96.8458687932989
7.5,27.8,1.5,2.378,90.7864578555664,-91.888065096995
7.5,27.8,1.5,2.381,88.0558556483971,-87.055426413611
7.5,27.8,1.5,2.384,85.4800850070285,-82.3425333961308
7.5,27.8,1.5,2.387,83.0484187915981,-77.7441327158879
7.5,27.8,1.5,2.39,80.7510437027486,-73.2551454140074
7.5,27.8,1.5,2.393,78.57897143885,-68.8706715228362
7.5,27.8,1.5,2.396,76.5239594625468,-64.585991774988
7.5,27.8,1.5,2.399,74.5784402579157,-60.3965670561657
7.5,27.8,1.5,2.402,72.7354580955558,-56.2980361279105
7.5,27.8,1.5,2.405,70.9886124424177,-52.2862120416363
7.5,27.8,1.5,2.408,69.3320072580031,-48.3570775808395
7.5,27.8,1.5,2.411,67.7602055103701,-44.506780000201
7.5,27.8,1.5,2.414,66.2681883257732,-40.7316252753011
7.5,27.8,1.5,2.417,64.8513182561134,-37.0280720322609
7.5,27.8,1.5,2.42,63.5053062099371,-33.3927252907983
7.5,27.8,1.5,2.423,62.2261816466022,-29.8223301252765
7.5,27.8,1.5,2.426,61.0102656803939,-26.3137653249995
7.5,27.8,1.5,2.429,59.8541467826963,-22.8640371162472
7.5,27.8,1.5,2.432,58.7546588065249,-19.4702729934192
7.5,27.8,1.5,2.435,57.7088610894829,-16.1297156945287
7.5,27.8,1.5,2.438,56.714020419078,-12.8397173465691
7.5,27.8,1.5,2.441,55.7675946688088,-9.59773379850035
7.5,27.8,1.5,2.444,54.8672179349671,-6.40131915342997
7.5,27.8,1.5,2.447,54.0106870230345,-3.24812050666607
7.5,27.8,1.5,2.45,53.1959491492475,-0.135872892455381
7.5,27.8,1.5,2.453,52.4210907376191,2.93760556077934
7.5,27.8,1.5,2.456,51.6843272056966,5.97441826923112
7.5,27.8,1.5,2.459,50.9839936438182,8.97659463083535
7.5,27.8,1.5,2.462,50.3185363027834,11.9460942663742
7.5,27.8,1.5,2.465,49.6865048138587,14.8848110711948
7.5,27.8,1.5,2.468,49.0865450730075,17.7945770848623
7.5,27.8,1.5,2.471,48.5173927283229,20.6771661865536
7.5,27.8,1.5,2.474,47.977867215933,23.5342976242847
7.5,27.8,1.5,2.477,47.4668662952498,26.3676393862182
7.5,27.8,1.5,2.48,46.9833610394239,29.17881142233
7.5,27.8,1.5,2.483,46.5263912413183,31.9693887246906
7.5,27.8,1.5,2.486,46.0950611992894,34.7409042744804
7.5,27.8,1.5,2.489,45.6885358506163,37.494851863728
7.5,27.8,1.5,2.492,45.3060372236078,40.2326887995504
7.5,27.8,1.5,2.495,44.946841182265,42.9558384984739
7.5,27.8,1.5,2.498,44.6102744399428,45.6656929781719
7.5,27.8,1.5,2.501,44.2957118207573,48.3636152537334
7.5,27.8,1.5,2.504,44.0025737495585,51.050941645322
7.5,27.8,1.5,2.507,43.7303239531661,53.7289840038583
7.5,27.8,1.5,2.51,43.478467357245,56.3990318611188
7.5,27.8,1.5,2.513,43.2465481647413,59.0623545104282
7.5,27.8,1.5,2.516,43.0341481031757,61.7202030238997
7.5,27.8,1.5,2.519,42.8408848293621,64.3738122119815
7.5,27.8,1.5,2.522,42.6664104812585,67.0244025308829
7.5,27.8,1.5,2.525,42.5104103677168,69.6731819432637
7.5,27.8,1.5,2.528,42.3726017878492,72.3213477374331
7.5,27.8,1.5,2.531,42.2527329726197,74.9700883101424
7.5,27.8,1.5,2.534,42.1505821420742,77.6205849179328
7.5,27.8,1.5,2.537,42.0659566723865,80.2740134018922
7.5,27.8,1.5,2.54,41.9986923675789,82.9315458905709
7.5,27.8,1.5,2.543,41.948652831451,85.5943524857323
7.5,27.8,1.5,2.546,41.915728935838,88.2636029355474
7.5,27.8,1.5,2.549,41.8998383819168,90.9404682998041
7.5,27.8,1.5,2.552,41.9009253518098,93.6261226116559
7.5,27.8,1.5,2.555,41.9189602482697,96.321744540446
7.5,27.8,1.5,2.558,41.9539395207242,99.0285190601277
7.5,27.8,1.5,2.561,42.0058855764459,101.747639127836
7.5,27.8,1.5,2.564,42.0748467760934,104.480307377206
7.5,27.8,1.5,2.567,42.1608975133273,107.227737831086
7.5,27.8,1.5,2.57,42.264138378676,109.991157638391
7.5,27.8,1.5,2.573,42.3846964082828,112.771808839906
7.5,27.8,1.5,2.576,42.5227254186395,115.570950168011
7.5,27.8,1.5,2.579,42.6784064288776,118.38985888541
7.5,27.8,1.5,2.582,42.8519481726842,121.229832668112
7.5,27.8,1.5,2.585,43.0435877024041,124.092191538107
7.5,27.8,1.5,2.588,43.2535910884137,126.978279851385
7.5,27.8,1.5,2.591,43.4822542174023,129.88946834718
7.5,27.8,1.5,2.594,43.7299036937659,132.827156264575
7.5,27.8,1.5,2.597,43.9968978489339,135.792773532922
7.5,27.8,1.5,2.6,44.283627864094,138.787783042806
7.5,27.8,1.5,2.603,44.5905190124816,141.813683004688
7.5,27.8,1.5,2.606,44.9180320281375,144.872009402697
7.5,27.8,1.5,2.609,45.266664608857,147.964338551509
7.5,27.8,1.5,2.612,45.6369530619167,151.092289764674
7.5,27.8,1.5,2.615,46.0294741021161,154.257528143298
7.5,27.8,1.5,2.618,46.4448468127122,157.461767494491
7.5,27.8,1.5,2.621,46.8837347809444,160.706773389622
7.5,27.8,1.5,2.624,47.346848421096,163.994366373063
7.5,27.8,1.5,2.627,47.8349474993886,167.326425332783
7.5,27.8,1.5,2.63,48.3488438765068,170.704891044968
7.5,27.8,1.5,2.633,48.8894044851939,174.131769905591
7.5,27.8,1.5,2.636,49.4575545621822,177.609137862847
7.5,27.8,1.5,2.639,50.0542811557293,181.139144565231
7.5,27.8,1.5,2.642,50.6806369322646,184.724017741174
7.5,27.8,1.5,2.645,51.3377443081199,188.366067827218
7.5,27.8,1.5,2.648,52.0267999350626,192.067692862962
7.5,27.8,1.5,2.651,52.7490795714151,195.831383672317
7.5,27.8,1.5,2.654,53.5059433739365,199.659729352014
7.5,27.8,1.5,2.657,54.2988416494492,203.555423089863
7.5,27.8,1.5,2.66,55.1293211094412,207.521268336862
7.5,27.8,1.5,2.663,55.9990316756012,211.560185359047
7.5,27.8,1.5,2.666,56.9097338895905,215.67521819685
7.5,27.8,1.5,2.669,57.8633069862896,219.869542061753
7.5,27.8,1.5,2.672,58.8617576964737,224.146471202178
7.5,27.8,1.5,2.675,59.9072298523874,228.509467272872
7.5,27.8,1.5,2.678,61.0020148781745,232.962148244467
7.5,27.8,1.5,2.681,62.1485632566767,237.508297892486
7.5,27.8,1.5,2.684,63.349497074896,242.151875907802
7.5,27.8,1.5,2.687,64.6076237626266,246.897028673389
7.5,27.8,1.5,2.69,65.9259511525607,251.748100755197
7.5,27.8,1.5,2.693,67.3077040058243,256.709647158039
7.5,27.8,1.5,2.696,68.7563421646783,261.786446400519
7.5,27.8,1.5,2.699,70.2755805142952,266.983514466187
7.5,27.8,1.5,2.702,71.8694109585293,272.306119691228
7.5,27.8,1.5,2.705,73.5421266408014,277.759798652038
7.5,27.8,1.5,2.708,75.298348671125,283.350373118757
7.5,27.8,1.5,2.711,77.1430556545239,289.083968143389
7.5,27.8,1.5,2.714,79.0816163552437,294.967031352929
7.5,27.8,1.5,2.717,81.1198258760596,301.00635351914
7.5,27.8,1.5,2.72,83.263945783569,307.209090476668
7.5,27.8,1.5,2.723,85.5207486696434,313.582786459775
7.5,27.8,1.5,2.726,87.8975677075487,320.135398924669
7.5,27.8,1.5,2.729,90.4023518400138,326.875324918426
7.5,27.8,1.5,2.732,93.0437273275848,333.811429046122
7.5,27.8,1.5,2.735,95.8310664908998,340.953073073963
7.5,27.8,1.5,2.738,98.7745646025695,348.310147186474
7.5,27.8,1.5,2.741,101.885326025909,355.893102888574
7.5,27.8,1.5,2.744,105.175460862317,363.71298750632
7.5,27.8,1.5,2.747,108.65819356049,371.781480190444
7.5,27.8,1.5,2.75,112.347985163674,380.110929260935
7.5,27.8,1.5,2.753,116.260671131244,388.714390644072
7.5,27.8,1.5,2.756,120.41361697466,397.605667039644
7.5,27.8,1.5,2.759,124.825894302797,406.799347307746
7.5,27.8,1.5,2.762,129.518480286964,416.310845371739
7.5,27.8,1.5,2.765,134.51448404197,426.156437683845
7.5,27.8,1.5,2.768,139.839403988729,436.353297975917
7.5,27.8,1.5,2.771,145.521420930351,446.919527598836
7.5,27.8,1.5,2.774,151.59173235372,457.874179212082
7.5,27.8,1.5,2.777,158.084934380892,469.237270884294
7.5,27.8,1.5,2.78,165.039458859921,481.029786759538
7.5,27.8,1.5,2.783,172.498074325823,493.273659271438
7.5,27.8,1.5,2.786,180.508461003082,505.991726369247
7.5,27.8,1.5,2.789,189.123871685481,519.207655252452
7.5,27.8,1.5,2.792,198.40389223823,532.945821558192
7.5,27.8,1.5,2.795,208.415317636269,547.231129631262
7.5,27.8,1.5,2.798,219.233161882219,562.088755197536
7.5,27.8,1.5,2.801,230.941822814987,577.543786154368
7.5,27.8,1.5,2.804,243.636425660635,593.620729888553
7.5,27.8,1.5,2.807,257.424372057962,610.342846015218
7.5,27.8,1.5,2.81,272.42712396955,627.731251025638
7.5,27.8,1.5,2.813,288.782253948149,645.803725166865
7.5,27.8,1.5,2.816,306.645793980656,664.573130834182
7.5,27.8,1.5,2.819,326.194913472021,684.045324424848
7.5,27.8,1.5,2.822,347.630951112825,704.216408222408
7.5,27.8,1.5,2.825,371.182812680851,725.069123337277
7.5,27.8,1.5,2.828,397.110723083606,746.568126587585
7.5,27.8,1.5,2.831,425.710279815262,768.653820895027
7.5,27.8,1.5,2.834,457.316686964434,791.234318043625
7.5,27.8,1.5,2.837,492.308939900479,814.175003530355
7.5,27.8,1.5,2.84,531.11356035106,837.285047892448
7.5,27.8,1.5,2.843,574.207220806884,860.300076069212
7.5,27.8,1.5,2.846,622.117206459207,882.860087416941
7.5,27.8,1.5,2.849,675.418090999502,904.481658146692
7.5,27.8,1.5,2.852,734.72218954981,924.523538609585
7.5,27.8,1.5,2.855,800.660240658554,942.145127169838
7.5,27.8,1.5,2.858,873.847336460993,956.258204259146
7.5,27.8,1.5,2.861,954.827443492229,965.474120733315
7.5,27.8,1.5,2.864,1043.98824288237,968.051878717379
7.5,27.8,1.5,2.867,1141.43721715999,961.857836802727
7.5,27.8,1.5,2.87,1246.83141005273,944.355578341217
7.5,27.8,1.5,2.873,1359.15958462397,912.654501515162
7.5,27.8,1.5,2.876,1476.49001068957,863.655692262647
7.5,27.8,1.5,2.879,1595.72291390813,794.337819679519
7.5,27.8,1.5,2.882,1712.42310155216,702.213609458677
7.5,27.8,1.5,2.885,1820.84526805654,585.945604791217
7.5,27.8,1.5,2.888,1914.27686549477,446.031373904972
7.5,27.8,1.5,2.891,1985.7750726034,285.369244473768
7.5,27.8,1.5,2.894,2029.24236592388,109.449389239348
7.5,27.8,1.5,2.897,2040.60011411039,-74.0426187925379
7.5,27.8,1.5,2.9,2018.6839687791,-256.233995423566
7.5,27.8,1.5,2.903,1965.51856696329,-428.44184224399
7.5,27.8,1.5,2.906,1885.8577846747,-583.492073886475
7.5,27.8,1.5,2.909,1786.17632046513,-716.582426439153
7.5,27.8,1.5,2.912,1673.48453974942,-825.513415069101
7.5,27.8,1.5,2.915,1554.32152038159,-910.372080179184
7.5,27.8,1.5,2.918,1434.1200728935,-972.90719903569
7.5,27.8,1.5,2.921,1316.95781818532,-1015.84299043336
7.5,27.8,1.5,2.924,1205.59686977536,-1042.29617755923
7.5,27.8,1.5,2.927,1101.68500731931,-1055.36315285017
7.5,27.8,1.5,2.93,1006.01341820729,-1057.87398684262
7.5,27.8,1.5,2.933,918.765121039074,-1052.27672133107
7.5,27.8,1.5,2.936,839.72275182718,-1040.60868725072
7.5,27.8,1.5,2.939,768.427322790171,-1024.51823156424
7.5,27.8,1.5,2.942,704.291686806308,-1005.310791454
7.5,27.8,1.5,2.945,646.677201351025,-984.002940970456
7.5,27.8,1.5,2.948,594.942758175356,-961.375256745102
7.5,27.8,1.5,2.951,548.474181524372,-938.019598257835
7.5,27.8,1.5,2.954,506.7002789867,-914.379230778163
7.5,27.8,1.5,2.957,469.100168646187,-890.781752489736
7.5,27.8,1.5,2.96,435.205134521915,-867.465516670524
7.5,27.8,1.5,2.963,404.597219673003,-844.600508621866
7.5,27.8,1.5,2.966,376.906014065465,-822.30466299605
7.5,27.8,1.5,2.969,351.804570736106,-800.656519083794
7.5,27.8,1.5,2.972,329.005029231828,-779.704981059048
7.5,27.8,1.5,2.975,308.25429061283,-759.476814105699
